,17,4,5,2,1,6,3,7,8,9,12,13,10,11,18,19,14,15,16,mouse,statement',statement,if,while
0,r2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s18,r2,s19,r2,,,1,2,16,17
1,s20,,,,,,,,,,,,,,,,,,,,,,,
2,r2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s18,r2,s19,r2,,,21,2,16,17
3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,r3,,,,,,
4,r4,r4,r4,r4,r4,r4,r4,r4,r4,r4,r4,r4,r4,r4,r4,r4,r4,r4,,,,,,
5,r5,r5,r5,r5,r5,r5,r5,r5,r5,r5,r5,r5,r5,r5,r5,r5,r5,r5,,,,,,
6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,r6,,,,,,
7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,r7,,,,,,
8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,r8,,,,,,
9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,r9,,,,,,
10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,,,,,,
11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,r11,,,,,,
12,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,r12,,,,,,
13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,r13,,,,,,
14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,r14,,,,,,
15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,r15,,,,,,
16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,r16,,,,,,
17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,r17,,,,,,
18,r2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s18,r2,s19,r2,,,22,2,16,17
19,r2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s18,r2,s19,r2,,,23,2,16,17
20,,,,,,,,,,,,,,,,,,,acc,,,,,
21,r1,,,,,,,,,,,,,,,r1,,r1,,,,,,
22,,,,,,,,,,,,,,,,s24,,,,,,,,
23,,,,,,,,,,,,,,,,,,s25,,,,,,
24,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,r18,,,,,,
25,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,r19,,,,,,
